Algoritmo,Caminho,Custo
Subida de Encosta,"[9, 10, 11, 12, 13, 14, 8, 7, 6, 5, 4, 2, 0, 1, 3]",274.8484306093399
Têmpera Simulada,"[11, 12, 10, 8, 5, 4, 2, 1, 0, 3, 9, 13, 14, 7, 6]",448.54237519280895
Subida de Encosta,"[14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1, 0, 2]",219.51544828708214
Têmpera Simulada,"[2, 0, 1, 3, 7, 8, 9, 10, 12, 13, 14, 11, 6, 5, 4]",322.1856215100212
Subida de Encosta,"[3, 1, 0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",211.87744268124263
Têmpera Simulada,"[14, 13, 7, 5, 3, 0, 1, 2, 4, 6, 9, 11, 12, 10, 8]",405.66448221701796
Subida de Encosta,"[4, 3, 1, 0, 2, 5, 6, 7, 14, 13, 12, 11, 10, 9, 8]",317.66449536204664
Têmpera Simulada,"[14, 13, 12, 11, 8, 5, 4, 2, 0, 1, 3, 6, 7, 9, 10]",305.2067283194789
Subida de Encosta,"[14, 13, 12, 11, 3, 1, 0, 2, 4, 5, 6, 7, 8, 9, 10]",291.51542255903985
Têmpera Simulada,"[3, 0, 1, 2, 4, 5, 6, 7, 8, 14, 13, 12, 11, 9, 10]",301.244806435122
Subida de Encosta,"[14, 13, 12, 11, 10, 9, 8, 7, 6, 4, 5, 3, 1, 0, 2]",231.6601373014511
Têmpera Simulada,"[11, 13, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 0, 1]",260.21973115183397
Subida de Encosta,"[2, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",219.51544828708214
Têmpera Simulada,"[14, 13, 12, 11, 10, 9, 8, 7, 6, 3, 1, 0, 2, 4, 5]",237.031008763836
Subida de Encosta,"[4, 5, 6, 7, 8, 9, 10, 3, 1, 0, 2, 11, 12, 13, 14]",367.30950779939053
Têmpera Simulada,"[6, 7, 10, 9, 5, 4, 1, 0, 2, 3, 8, 11, 14, 13, 12]",387.94756870809493
Subida de Encosta,"[10, 9, 8, 3, 1, 0, 2, 4, 5, 6, 7, 11, 12, 13, 14]",295.6648410189773
Têmpera Simulada,"[2, 0, 1, 3, 8, 9, 6, 4, 5, 7, 10, 11, 12, 13, 14]",323.5446541351802
Subida de Encosta,"[3, 1, 0, 2, 4, 5, 6, 7, 11, 12, 13, 14, 10, 9, 8]",288.2048839960206
Têmpera Simulada,"[10, 9, 8, 7, 6, 5, 4, 2, 1, 0, 3, 11, 12, 13, 14]",303.8602269112032
